,FILM,RottenTomatoes,Metacritic,IMDB,Fandango_Stars
105,Hitman: Agent 47 (2015),7,28,5.9,4.0
106,Cake (2015),49,49,6.5,3.5
107,The Vatican Tapes (2015),13,37,4.6,3.0
108,A Little Chaos (2015),40,51,6.4,4.0
109,The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),67,58,7.1,4.0
110,Escobar: Paradise Lost (2015),52,56,6.6,4.0
111,Into the Woods (2014),71,69,6.0,3.5
112,It Follows (2015),96,83,6.9,3.0
113,Inherent Vice (2014),73,81,6.7,3.0
114,A Most Violent Year (2014),90,79,7.1,3.5
115,While We're Young (2015),83,76,6.4,3.0
116,Clouds of Sils Maria (2015),89,78,6.8,3.5
117,Testament of Youth (2015),81,77,7.3,4.0
118,Infinitely Polar Bear (2015),80,64,7.2,4.0
119,Phoenix (2015),99,91,7.2,3.5
120,The Wolfpack (2015),84,75,7.1,3.5
121,The Stanford Prison Experiment (2015),84,68,7.1,4.0
122,Tangerine (2015),95,86,7.4,4.0
123,Magic Mike XXL (2015),62,60,6.3,4.5
124,Home (2015),45,55,6.7,4.5
125,The Wedding Ringer (2015),27,35,6.7,4.5
126,Woman in Gold (2015),52,51,7.4,4.5
127,The Last Five Years (2015),60,60,6.0,4.5
128,Mission: Impossible â€“ Rogue Nation (2015),92,75,7.8,4.5
129,Amy (2015),97,85,8.0,4.5
130,Jurassic World (2015),71,59,7.3,4.5
131,Minions (2015),54,56,6.7,4.0
132,Max (2015),35,47,7.0,4.5
133,Paul Blart: Mall Cop 2 (2015),5,13,4.3,3.5
134,The Longest Ride (2015),31,33,7.2,4.5
135,The Lazarus Effect (2015),14,31,5.2,3.0
136,The Woman In Black 2 Angel of Death (2015),22,42,4.9,3.0
137,Danny Collins (2015),77,58,7.1,4.0
138,Spare Parts (2015),52,50,7.2,4.5
139,Serena (2015),18,36,5.4,3.0
140,Inside Out (2015),98,94,8.6,4.5
141,Mr. Holmes (2015),87,67,7.4,4.0
142,'71 (2015),97,83,7.2,3.5
143,"Two Days, One Night (2014)",97,89,7.4,3.5
144,Gett: The Trial of Viviane Amsalem (2015),100,90,7.8,3.5
145,"Kumiko, The Treasure Hunter (2015)",87,68,6.7,3.5
