"","type","airTemperature_K","processTemperature_K","rotationalSpeed_rpm","torque_nm","toolWear_min","target"
"103","L",298.8,308.8,1555,40.6,61,0
"104","M",298.8,308.8,1441,40.5,63,0
"105","L",298.8,308.7,1450,43.4,66,0
"106","L",298.8,308.7,1591,31.1,68,0
"107","L",298.8,308.7,1445,48.5,70,0
"108","M",298.8,308.8,1497,46.8,72,0
"109","H",298.9,308.8,1621,32.7,75,0
"110","L",298.9,308.7,1572,34.1,80,0
"111","L",298.8,308.6,1872,22.5,82,0
"112","H",298.7,308.6,1499,43.5,84,0
"113","M",298.8,308.7,1498,39.5,89,0
"114","M",298.8,308.6,1486,41.9,92,0
"115","L",298.8,308.6,1680,29.4,95,0
"116","L",298.8,308.6,1431,45.7,97,0
"117","L",298.9,308.7,1564,34.1,99,0
"118","L",298.8,308.6,1599,33,101,0
"119","M",298.8,308.6,1707,28.1,103,0
"120","L",298.7,308.5,1467,40.7,106,0
"121","L",298.9,308.7,1433,44.7,108,0
"122","L",298.9,308.7,1558,41.2,110,0
"123","L",299,308.8,1310,50.7,112,0
"124","L",298.9,308.7,1546,43.4,114,0
"125","L",298.9,308.7,1727,29.4,116,0
"126","L",298.9,308.6,1560,32.2,118,0
"127","L",299,308.6,1329,60.5,120,0
"128","L",298.9,308.6,1413,46.5,122,0
"129","L",299,308.6,1587,38.6,124,0
"130","L",298.9,308.5,1559,34.3,126,0
"131","L",298.8,308.4,1473,41.1,128,0
"132","L",298.8,308.4,1737,27.7,130,0
"133","M",298.7,308.4,1441,43.2,132,0
"134","M",298.7,308.4,1430,49.6,135,0
"135","L",298.8,308.4,1369,53,138,0
"136","M",298.8,308.5,1711,28.5,140,0
"137","H",298.7,308.5,1420,45.7,143,0
"138","L",298.7,308.6,1297,55.3,148,0
"139","H",298.8,308.6,1449,49.4,150,0
"140","L",298.8,308.6,1268,55.8,155,0
"141","L",298.8,308.6,1511,36.1,157,0
"142","L",298.7,308.5,1544,35.2,159,0
"143","M",298.6,308.4,1778,28.2,161,0
"144","H",298.6,308.4,1407,50.5,164,0
"145","M",298.6,308.4,1391,42.4,169,0
"146","L",298.5,308.4,1513,33.6,172,0
"147","H",298.5,308.4,1612,36.1,174,0
"148","L",298.4,308.4,1515,40.1,179,0
"149","M",298.3,308.3,1379,48,181,0
"150","L",298.4,308.3,1473,39.9,184,0
"151","L",298.4,308.3,1422,42.7,186,0
"152","M",298.4,308.2,1463,37.6,188,0
"153","M",298.4,308.2,1584,41,191,0
"154","L",298.4,308.2,1850,27,194,0
"155","L",298.4,308.2,1528,36.2,196,0
"156","H",298.4,308.2,1987,19.8,198,0
"157","M",298.4,308.1,1495,46,203,0
"158","H",298.4,308.2,1478,43.5,206,0
"159","M",298.4,308.2,1499,40,211,0
"160","L",298.4,308.2,1471,47,214,0
"161","L",298.4,308.2,1282,60.7,216,1
"162","L",298.3,308.1,1412,52.3,218,1
"163","L",298.3,308.1,1586,35.5,0,0
"164","M",298.4,308.2,1468,43.8,2,0
"165","M",298.5,308.3,1440,43.6,5,0
"166","L",298.5,308.4,1733,26,8,0
"167","H",298.4,308.2,1612,32.6,10,0
"168","H",298.4,308.3,1458,42.9,15,0
"169","L",298.4,308.3,1433,62.3,20,1
"170","L",298.4,308.3,1318,59.1,22,0
"171","M",298.4,308.2,1610,35,24,0
"172","L",298.2,308.1,1462,50.8,27,0
"173","M",298.1,308,1924,20.8,29,0
"174","M",298.2,308,1591,33.7,32,0
"175","L",298.2,308.1,1306,58.3,35,0
"176","L",298.2,308.1,1382,43.5,37,0
"177","L",298.2,308.1,1618,34.7,39,0
"178","L",298.2,308.2,1988,21.4,41,0
"179","L",298.2,308.2,1436,50.2,43,0
"180","L",298.2,308.3,1304,49.8,45,0
"181","L",298.2,308.3,1475,49.9,47,0
"182","H",298.2,308.3,1824,24.2,49,0
"183","M",298.1,308.2,1342,48.1,54,0
"184","L",298.1,308.2,1485,40.7,57,0
"185","L",298.2,308.2,1667,30.6,59,0
"186","L",298.2,308.2,1446,38.2,61,0
"187","L",298.1,308.3,1301,56,63,0
"188","L",298.2,308.4,1379,43.1,65,0
"189","L",298.3,308.5,1606,33.6,67,0
"190","M",298.3,308.4,1539,43.4,69,0
"191","L",298.2,308.4,1477,49.9,72,0
"192","L",298.2,308.4,1666,34.6,74,0
"193","H",298.2,308.4,1398,51.8,76,0
"194","H",298.2,308.4,1678,34.6,81,0
"195","M",298.2,308.5,2678,10.7,86,1
"196","L",298.3,308.5,1453,42.9,89,0
"197","H",298.3,308.6,1432,49.5,91,0
"198","M",298.4,308.6,1527,40.9,96,0
"199","L",298.4,308.7,1588,35,99,0
"200","L",298.4,308.6,1433,47.1,101,0
"201","L",298.4,308.6,1609,35,103,0
"202","L",298.3,308.5,1575,41.2,105,0
"203","M",298.4,308.5,1636,35.7,107,0
"204","L",298.4,308.5,1490,37.9,110,0
"205","L",298.4,308.5,1741,32.8,112,0
"206","M",298.5,308.6,1344,53,114,0
"207","L",298.5,308.7,1609,35.3,117,0
"208","M",298.4,308.7,1421,60.7,119,1
"209","L",298.4,308.6,1591,36.7,122,0
"210","L",298.4,308.6,1477,44,124,0
"211","L",298.4,308.7,1523,36.1,126,0
"212","L",298.5,308.7,1575,33.9,128,0
"213","H",298.4,308.7,1344,52.9,130,0
"214","L",298.4,308.7,1386,44.9,135,0
"215","M",298.3,308.6,1589,37.1,137,0
"216","L",298.3,308.6,1548,40.3,140,0
"217","L",298.3,308.6,1499,38.3,142,0
"218","L",298.3,308.5,1664,31.6,144,0
"219","L",298.3,308.6,1447,38.1,146,0
"220","M",298.3,308.5,1434,46.2,148,0
"221","L",298.3,308.5,1416,52.7,151,0
"222","H",298.4,308.5,1827,24.3,153,0
"223","L",298.4,308.6,1304,45,158,0
"224","L",298.4,308.6,1569,34.4,160,0
"225","L",298.3,308.6,1584,29.3,162,0
"226","L",298.3,308.5,1362,53.8,164,0
"227","L",298.3,308.4,1329,49.2,166,0
"228","L",298.3,308.5,1539,36.1,168,0
"229","M",298.3,308.5,1629,37.1,170,0
"230","L",298.3,308.5,1538,32.2,173,0
"231","L",298.3,308.6,1570,34.8,175,0
"232","L",298.3,308.4,1408,43.1,177,0
"233","L",298.2,308.4,1424,47.6,179,0
"234","L",298.2,308.4,1512,34.9,181,0
"235","L",298.2,308.4,1478,42.9,183,0
"236","M",298.1,308.3,1680,33.7,185,0
"237","L",298.1,308.3,1495,38.7,188,0
"238","M",298,308.1,1552,36.6,190,0
"239","L",297.9,308.1,1393,50.3,193,0
"240","L",298,308.2,1611,30.6,195,0
"241","M",298,308.1,1339,51.6,197,0
"242","L",298,308.1,1777,24.3,200,0
"243","L",298,308.2,1348,58.8,202,1
"244","L",298,308.2,1442,44.1,204,0
"245","M",298,308.2,1395,49.1,206,0
"246","M",297.9,308.1,1627,31.4,209,0
"247","L",297.9,308.1,1585,33.5,212,0
"248","L",298,308.2,1469,45.5,214,0
"249","L",298,308.3,1362,56.8,216,1
"250","L",298,308.3,1405,56.2,218,1
"251","L",298,308.3,1662,32.7,0,0
"252","M",298,308.2,1466,42.6,2,0
"253","L",298,308.2,1620,35.8,5,0
"254","L",298,308.2,1357,48.2,7,0
"255","L",298,308.2,1514,37.9,9,0
"256","L",298,308.2,1489,40.4,11,0
"257","L",298.1,308.3,1331,63,13,0
"258","L",298,308,1615,29.5,15,0
"259","L",298.1,308.2,1482,37.9,17,0
"260","M",298.1,308.2,1420,63.9,19,1
"261","M",298.2,308.3,1522,49.1,22,0
"262","L",298.1,308.2,1654,32.1,25,0
"263","M",298.1,308.2,1736,26.8,27,0
"264","M",298,308.1,1587,32.3,30,0
"265","L",298.1,308.2,1390,47.5,33,0
"266","L",298,308.1,1454,37.1,35,0
"267","H",298,308.1,1440,43.7,37,0
"268","L",297.9,308,1954,21.1,42,0
"269","H",297.9,308,1800,24.8,44,0
"270","L",298,308,1524,37,49,0
"271","H",298,308,1520,39.6,51,0
"272","M",298.1,308.1,1452,40.8,56,0
"273","L",298.1,308.1,1484,40.4,59,0
"274","L",298.1,308,1426,46,61,0
"275","L",298.1,308,1652,28.5,63,0
"276","L",298,308,1401,54.7,65,0
"277","M",298,307.9,1750,26.6,67,0
"278","H",298,308,1479,50.7,70,0
"279","M",298,308,1620,29.4,75,0
"280","L",298,308.1,1819,23.4,78,0
"281","M",298.1,308.1,1456,43.7,80,0
"282","L",298.1,308,1626,36.5,83,0
"283","M",298.1,308.1,1390,49.8,85,0
"284","L",298.2,308.2,1469,43,88,0
"285","L",298.2,308.3,2051,19.2,90,0
"286","L",298.2,308.3,1568,36,92,0
"287","L",298.2,308.3,1589,33.2,94,0
"288","L",298.2,308.3,1805,31.6,96,0
"289","H",298.2,308.4,1385,42.2,98,0
"290","L",298.1,308.4,1436,46.7,103,0
"291","L",298.1,308.4,1438,45.6,105,0
"292","L",298,308.3,1473,42.6,107,0
"293","L",298.1,308.4,1335,40.2,109,0
"294","H",298.1,308.5,1392,44.8,111,0
"295","M",298.1,308.5,1372,51.1,116,0
"296","M",298.1,308.6,1716,30.7,119,0
"297","L",298,308.5,1395,46.2,122,0
"298","L",298,308.5,1713,25.3,124,0
"299","H",297.9,308.5,2129,18.7,126,0
"300","M",297.8,308.3,1567,35.6,131,0
"301","L",297.8,308.4,1622,38.3,134,0
"302","L",297.7,308.4,1740,27.1,136,0
"303","H",297.8,308.4,1512,35.1,138,0
"304","M",297.8,308.4,1479,43.5,143,0
"305","L",297.8,308.4,1737,27.5,146,0
"306","L",297.8,308.4,2129,19.2,148,0
"307","L",297.8,308.4,1374,47.1,150,0
"308","M",297.8,308.4,1579,36.6,152,0
"309","L",297.9,308.5,1305,47.2,155,0
"310","M",297.9,308.5,1449,40.8,157,0
"311","H",298,308.6,1526,41.8,160,0
"312","M",298,308.6,1453,44.1,165,0
"313","L",297.9,308.6,1468,36,168,0
"314","L",298,308.6,1313,50.8,170,0
"315","M",297.9,308.5,1300,53,172,0
"316","L",297.9,308.4,1646,40.6,175,0
"317","L",297.8,308.4,1714,33.2,177,0
"318","L",297.8,308.4,1685,28.4,179,0
"319","L",297.8,308.4,1512,39.9,181,0
"320","L",297.8,308.4,1612,32.1,183,0
"321","H",297.8,308.4,1550,38.2,185,0
"322","L",297.8,308.4,1518,32.5,190,0
"323","L",297.8,308.5,1448,40,192,0
"324","L",297.8,308.5,1561,46.3,194,0
"325","M",297.8,308.5,1488,41.9,196,0
"326","L",297.8,308.5,1699,27.8,199,0
"327","L",297.7,308.5,1501,41.4,201,0
"328","L",297.7,308.5,1373,56.7,203,1
"329","H",297.6,308.4,1703,31.4,205,0
"330","H",297.7,308.5,1720,29.9,210,0
"331","M",297.6,308.4,1398,41.9,215,0
"332","M",297.6,308.4,1391,51.9,218,0
"333","M",297.6,308.3,1538,40.2,0,0
"334","L",297.5,308.2,1647,31.3,3,0
"335","M",297.5,308.1,1469,44.8,5,0
"336","L",297.4,308.1,1749,25.9,8,0
"337","M",297.6,308.2,1995,20.5,10,0
"338","L",297.6,308.3,1742,27.7,13,0
"339","L",297.5,308.2,1563,38.2,15,0
"340","M",297.5,308.2,1713,32.2,17,0
"341","L",297.4,308.1,1474,39.4,20,0
"342","M",297.4,308.2,1530,32.6,22,0
"343","L",297.4,308.2,1471,46.5,25,0
"344","L",297.5,308.3,1388,48.6,27,0
"345","M",297.5,308.2,2448,13.8,29,0
"346","L",297.5,308.3,1585,32.9,32,0
"347","M",297.5,308.3,1459,45.2,34,0
"348","L",297.5,308.3,1544,40.8,37,0
"349","L",297.6,308.3,1617,31.7,39,0
"350","L",297.6,308.3,1595,34.3,41,0
"351","H",297.6,308.3,1400,44.3,43,0
"352","M",297.6,308.4,1611,31,48,0
"353","M",297.6,308.4,1507,46,51,0
"354","H",297.5,308.3,1674,30,54,0
"355","L",297.6,308.3,1658,34.3,59,0
"356","L",297.6,308.3,1623,36.9,61,0
"357","M",297.6,308.4,1398,48.9,63,0
"358","L",297.6,308.4,1517,34.2,66,0
"359","M",297.6,308.3,1467,36.7,68,0
"360","M",297.6,308.3,1567,34.6,71,0
"361","M",297.5,308.3,1521,38.2,74,0
"362","L",297.5,308.3,1596,36.8,77,0
"363","H",297.6,308.3,1640,30.9,79,0
"364","L",297.6,308.3,1438,47.8,84,0
"365","L",297.6,308.4,1407,55.2,86,0
"366","L",297.6,308.4,1353,57.5,88,0
"367","M",297.6,308.5,1552,40.9,90,0
"368","M",297.6,308.4,1569,38.3,93,0
"369","L",297.5,308.4,1489,39.5,96,0
"370","H",297.5,308.4,1587,36.1,98,0
"371","M",297.5,308.3,1622,37.2,103,0
"372","L",297.5,308.4,1604,38.1,106,0
"373","M",297.4,308.3,1405,51.7,108,0
"374","L",297.4,308.3,1412,42,111,0
"375","L",297.4,308.3,1431,43,113,0
"376","L",297.4,308.2,1533,37.4,115,0
"377","M",297.4,308.2,1401,51.9,117,0
"378","M",297.4,308.2,1424,53.9,120,0
"379","L",297.3,308.2,1754,29.4,123,0
"380","L",297.3,308.2,1754,26.8,125,0
"381","L",297.5,308.3,2564,12.8,127,1
"382","L",297.5,308.5,1546,40.4,129,0
"383","L",297.5,308.5,1335,48,131,0
"384","M",297.5,308.6,1842,27,133,0
"385","L",297.5,308.5,1712,26.8,136,0
"386","M",297.6,308.6,1414,45.4,138,0
"387","L",297.6,308.7,1319,50.9,141,0
"388","L",297.7,308.7,1249,60.4,143,0
"389","L",297.6,308.7,1455,48.2,145,0
"390","M",297.6,308.7,1408,54.8,147,0
"391","L",297.6,308.7,1460,46.7,150,0
"392","L",297.6,308.6,1491,38.1,152,0
"393","M",297.6,308.5,1490,43.4,154,0
"394","M",297.5,308.4,1350,52.2,157,0
"395","L",297.5,308.4,1528,39.9,160,0
"396","L",297.4,308.3,1571,37.7,162,0
"397","L",297.4,308.3,1490,42.6,164,0
"398","M",297.4,308.3,1774,28.9,166,0
"399","H",297.4,308.3,1502,43.6,169,0
"400","L",297.4,308.4,1392,49.7,174,0
"401","L",297.4,308.5,2100,16.9,176,0
"402","L",297.5,308.5,1722,30.4,178,0
"403","L",297.4,308.6,1678,32.3,180,0
"404","L",297.3,308.6,1273,59.8,182,0
"405","L",297.3,308.6,1297,45.9,184,0
"406","L",297.3,308.5,1350,57.6,186,0
"407","L",297.4,308.6,1439,51.9,188,0
"408","M",297.4,308.5,1600,42.1,190,0
"409","M",297.4,308.6,1434,44.4,193,0
"410","L",297.4,308.6,1459,41.3,196,0
"411","M",297.5,308.6,1472,44.9,198,0
"412","L",297.5,308.7,1429,44.3,201,0
"413","L",297.5,308.6,1388,48.2,203,0
"414","L",297.4,308.4,1573,34.5,205,0
"415","L",297.4,308.4,1588,32.5,207,0
"416","L",297.5,308.4,1511,42.8,209,0
"417","L",297.4,308.5,1495,37.8,211,0
"418","L",297.4,308.4,1394,50.1,213,0
"419","L",297.4,308.4,2151,17.7,0,0
"420","M",297.3,308.3,1501,38.2,2,0
"421","M",297.3,308.3,1301,39.6,5,0
"422","M",297.3,308.3,1657,31.1,8,0
"423","L",297.3,308.3,1333,55.2,11,0
"424","L",297.3,308.3,1484,43.9,13,0
"425","L",297.3,308.4,1430,45.7,15,0
"426","M",297.3,308.4,1665,28.9,17,0
"427","L",297.4,308.5,1501,44.9,20,0
"428","M",297.5,308.5,1496,42.2,22,0
"429","M",297.6,308.6,1595,36.9,25,0
"430","L",297.5,308.6,1208,62.3,28,0
"431","L",297.5,308.6,1596,37.1,30,0
"432","L",297.5,308.5,1446,41.9,32,0
"433","M",297.6,308.5,1466,39.7,34,0
"434","M",297.6,308.5,1848,23.7,37,0
"435","M",297.5,308.5,1484,44.7,40,0
"436","L",297.4,308.3,1493,41.2,43,0
"437","L",297.3,308.3,1504,36.3,45,0
"438","L",297.3,308.3,1538,38.5,47,0
"439","L",297.4,308.4,1341,52.2,49,0
"440","M",297.4,308.3,1535,34.6,51,0
"441","L",297.4,308.5,1389,39.2,54,0
"442","H",297.5,308.5,1393,46.6,56,0
"443","L",297.4,308.5,1399,61.5,61,1
"444","H",297.4,308.5,1469,45.1,63,0
"445","L",297.4,308.4,1582,37.2,68,0
"446","L",297.5,308.6,1793,26.7,70,0
"447","L",297.5,308.6,1452,39,72,0
"448","M",297.6,308.7,1376,59.9,74,0
"449","L",297.5,308.6,1552,44.9,77,0
"450","L",297.6,308.7,1622,37.9,79,0
"451","M",297.6,308.7,1419,41.7,81,0
"452","H",297.5,308.6,1440,46.1,84,0
"453","M",297.4,308.6,1643,31,89,0
"454","L",297.4,308.7,1510,36.2,92,0
"455","L",297.4,308.7,1468,46.6,94,0
"456","L",297.4,308.7,1429,57.4,96,0
"457","H",297.3,308.7,1478,47.6,98,0
"458","L",297.4,308.6,1276,53.6,103,0
"459","L",297.3,308.6,1486,42.6,105,0
"460","L",297.4,308.6,1476,42.3,107,0
"461","H",297.3,308.6,1431,42,109,0
"462","L",297.4,308.7,1402,40.2,114,0
"463","L",297.4,308.7,1433,43.4,116,0
"464","L",297.4,308.7,2874,4.2,118,1
"465","L",297.3,308.6,1511,35.7,120,0
"466","M",297.3,308.6,1456,42.9,122,0
"467","L",297.2,308.5,1550,41.5,125,0
"468","L",297.2,308.5,2182,16.5,127,0
"469","L",297.3,308.7,1619,31.6,129,0
"470","M",297.3,308.8,1586,32.7,131,0
"471","H",297.3,308.8,1499,44.2,134,0
"472","H",297.3,308.8,1419,42.4,139,0
"473","M",297.4,309,1497,41.8,144,0
"474","M",297.4,309,1520,37,147,0
"475","L",297.4,309.1,1478,49.8,150,0
"476","L",297.4,309.1,1380,41.1,152,0
"477","L",297.4,309,1570,37.9,154,0
"478","H",297.4,309,1468,41.4,156,0
"479","L",297.4,309,1833,22.6,161,0
"480","M",297.4,308.9,1323,57.3,163,0
"481","L",297.4,309,1583,32,166,0
"482","M",297.3,309,1556,39.5,168,0
"483","L",297.3,309,1548,37.4,171,0
"484","L",297.4,309,1324,56.9,173,0
"485","L",297.4,309,1568,33.7,175,0
"486","M",297.4,309,1685,30.7,177,0
"487","M",297.4,309.1,1582,35.9,180,0
"488","M",297.4,309.1,1463,35,183,0
"489","L",297.4,309.2,1584,42.8,186,0
"490","M",297.5,309.2,1347,55.8,188,0
"491","L",297.4,309.2,1459,37.9,191,0
"492","L",297.4,309.2,1420,45.6,193,0
"493","L",297.5,309.3,1404,43.5,195,0
"494","L",297.5,309.3,1470,38.8,197,0
"495","L",297.6,309.4,1326,49.8,199,0
"496","H",297.5,309.3,1459,49.7,201,0
"497","M",297.5,309.2,1530,40,206,0
"498","L",297.4,309,1505,39.2,209,0
"499","L",297.5,309.1,1611,30.2,211,0
"500","L",297.5,309.1,1515,35.1,213,0
"501","M",297.5,309.2,1804,27.4,215,0
"502","M",297.6,309.3,1464,46.2,218,0
"503","L",297.6,309.2,1390,43.3,221,0
"504","M",297.6,309.2,1442,48.1,0,0
"505","M",297.6,309.3,1529,41.9,3,0
"506","L",297.6,309.3,1610,35,6,0
"507","L",297.6,309.3,1543,34.3,8,0
"508","H",297.8,309.4,1445,48.2,10,0
"509","L",297.7,309.3,1893,24.6,15,0
"510","M",297.6,309.3,1415,41.3,17,0
"511","L",297.5,309.3,1564,37.5,20,0
"512","L",297.5,309.3,1479,39.4,22,0
"513","L",297.5,309.2,1426,44.8,24,0
"514","L",297.4,309.2,1428,38.8,26,0
"515","L",297.4,309.2,1620,33.2,28,0
"516","L",297.5,309.2,1715,28,30,0
"517","L",297.5,309.3,1732,29.9,32,0
"518","M",297.5,309.4,1391,58.2,34,0
"519","L",297.6,309.5,1924,20.6,37,0
"520","M",297.7,309.5,2027,19.8,39,0
"521","L",297.6,309.5,1617,36.2,42,0
"522","L",297.5,309.4,1497,35.8,44,0
"523","M",297.5,309.5,1448,43.7,46,0
"524","L",297.4,309.4,1401,45.9,49,0
"525","L",297.4,309.4,1620,35.4,51,0
"526","L",297.4,309.4,1466,45.5,53,0
"527","L",297.6,309.5,1373,50.6,55,0
"528","M",297.6,309.6,1592,35.8,57,0
"529","M",297.5,309.5,1553,42.4,60,0
"530","L",297.6,309.5,1569,36.2,63,0
"531","M",297.6,309.5,1709,32.2,65,0
"532","L",297.6,309.5,1549,34.9,68,0
"533","L",297.5,309.4,1443,45.4,70,0
"534","L",297.5,309.3,1675,29.8,72,0
"535","L",297.5,309.3,1623,33.4,74,0
"536","H",297.4,309.3,1365,52.4,76,0
"537","L",297.4,309.3,1759,24.8,81,0
"538","H",297.4,309.3,1516,43,83,0
"539","M",297.4,309.3,1499,36.8,88,0
"540","M",297.4,309.3,1775,25.8,91,0
"541","L",297.4,309.4,1473,45.5,94,0
"542","L",297.4,309.4,1296,52.3,96,0
"543","L",297.5,309.4,1803,24.7,98,0
"544","H",297.5,309.3,1563,36.1,100,0
"545","M",297.5,309.4,1831,26.6,105,0
"546","L",297.6,309.4,1958,22.1,108,0
"547","L",297.5,309.4,1809,24.3,110,0
"548","M",297.5,309.4,1482,39.3,112,0
"549","L",297.4,309.3,1332,53.2,115,0
"550","L",297.4,309.2,1437,40.4,117,0
"551","L",297.4,309.2,1698,29.4,119,0
"552","L",297.4,309.2,1274,54.3,121,0
"553","M",297.4,309.3,1622,35,123,0
"554","M",297.4,309.3,1564,36,126,0
"555","H",297.5,309.4,1368,45.3,129,0
"556","M",297.4,309.4,1539,42.2,134,0
"557","L",297.5,309.4,1357,50.1,137,0
"558","M",297.5,309.4,1433,48.3,139,0
"559","L",297.5,309.4,1650,34.6,142,0
"560","L",297.5,309.4,1503,40.6,144,0
"561","L",297.5,309.4,1318,58.2,146,0
"562","M",297.5,309.4,1678,34.4,148,0
"563","L",297.6,309.5,1574,30.9,151,0
"564","L",297.7,309.6,1529,35.2,153,0
"565","H",297.6,309.6,1669,32.1,155,0
"566","H",297.7,309.7,1570,35.8,160,0
"567","M",297.6,309.7,1541,33.7,165,0
"568","M",297.7,309.7,1680,30.2,168,0
"569","L",297.8,309.7,1935,22.1,171,0
"570","M",297.7,309.6,1596,35.2,173,0
"571","L",297.7,309.7,1498,41,176,0
"572","M",297.8,309.8,1676,29,178,0
"573","L",297.8,309.9,1351,49,181,0
"574","L",297.9,309.9,1472,45,183,0
"575","M",297.9,310,1439,41.7,185,0
"576","M",297.9,309.9,1410,55.4,188,0
"577","H",297.7,309.7,1440,51.1,191,0
"578","L",297.7,309.7,1591,37.7,196,0
"579","L",297.8,309.8,1533,36.8,198,0
"580","M",297.8,309.7,1700,31.3,200,0
"581","M",297.8,309.8,1798,25.5,203,0
"582","L",297.8,309.7,1394,42.9,206,0
"583","L",297.8,309.7,1341,49.2,208,0
"584","H",297.7,309.6,1697,32.2,210,0
"585","H",297.6,309.6,1419,48.2,215,0
"586","L",297.6,309.5,2001,20.5,220,0
"587","L",297.6,309.6,1501,49.8,222,1
"588","H",297.6,309.5,1623,33.1,224,0
"589","L",297.6,309.4,1628,33.4,229,0
"590","L",297.6,309.4,1491,40.2,231,0
"591","L",297.5,309.4,1517,36.7,233,0
"592","H",297.5,309.3,1525,41.7,235,0
